GARD:0000004 ! Acanthocheilonemiasis	MESH:D063485 ! Acanthocheilonemiasis
GARD:0010074 ! Abderhalden Kaufmann Lignac syndrome	MESH:C535335 ! Abderhalden-Kaufmann-Lignac syndrome
GARD:0010085 ! Klebsiella infection	MESH:D007710 ! Klebsiella Infections
GARD:0010100 ! Tietze syndrome	OMIM:103500 ! Tietze's syndrome
GARD:0010125 ! Agnathia-microstomia-synotia	MESH:C538059 ! Agnathia-microstomia-synotia
GARD:0010150 ! Idiopathic subglottic tracheal stenosis	MESH:C536283 ! Idiopathic subglottic tracheal stenosis
GARD:0010155 ! Fetal macrosomia	MESH:D005320 ! Fetal Macrosomia
GARD:0010162 ! Papillary cystadenocarcinoma	DOID:3110 ! papillary cystadenocarcinoma
GARD:0010164 ! Plagiocephaly	MESH:D059041 ! Plagiocephaly
GARD:0010165 ! Nonseminomatous germ cell tumor	OMIM:273300 ! Testicular teratoma
GARD:0010166 ! Cerebrospinal fluid leak	MESH:D065634 ! Cerebrospinal Fluid Leak
GARD:0010176 ! Mastocytic enterocolitis	MESH:C536032 ! Mastocytic enterocolitis
GARD:0010177 ! Mirizzi syndrome	MESH:D057792 ! Mirizzi Syndrome
GARD:0010181 ! Epithelioid sarcoma	DOID:6193 ! epithelioid sarcoma
GARD:0010182 ! Hereditary antithrombin deficiency type 2	MESH:C537779 ! Antithrombin deficiency type 2
GARD:0010186 ! Urachal adenocarcinoma	MESH:C536474 ! Urachal adenocarcinoma
GARD:0010191 ! Status epilepticus	DOID:1824 ! status epilepticus
GARD:0010193 ! Subcutaneous panniculitis-like T-cell lymphoma	Orphanet:86884 ! Subcutaneous panniculitis-like T-cell lymphoma
GARD:0010224 ! Zygomycosis	Orphanet:73263 ! Zygomycosis
GARD:0010246 ! Asthma	DOID:2841 ! asthma
GARD:0010246 ! Asthma	OMIM:600807 ! Asthma
GARD:0010254 ! Alzheimer disease	DOID:10652 ! Alzheimer's disease
GARD:0010256 ! Irritable bowel syndrome	DOID:9778 ! irritable bowel syndrome
GARD:0010260 ! Macular degeneration	DOID:4448 ! macular degeneration
GARD:0010260 ! Macular degeneration	OMIM:607921 ! Retinitis Pigmentosa 30
GARD:0010261 ! Obesity	DOID:9970 ! obesity
GARD:0010261 ! Obesity	OMIM:601665 ! Obesity
GARD:0010261 ! Obesity	OMIM:613444 ! Chromosome 16P11.2 Deletion Syndrome, 220-Kb
GARD:0010262 ! Psoriasis	DOID:8893 ! psoriasis
GARD:0010264 ! Meningioma, spinal	DOID:1138 ! spinal meningioma
GARD:0010265 ! Pityriasis lichenoides	MESH:D017514 ! Pityriasis Lichenoides
GARD:0010285 ! Periventricular leukomalacia	DOID:13088 ! periventricular leukomalacia
GARD:0010292 ! Ocular colobomas, ichthyosis, brain malformations and endocrine abnormalities	OMIM:612379 ! SRD5A3-CDG
GARD:0010302 ! Serkal syndrome	OMIM:611812 ! SERKAL syndrome
GARD:0010341 ! Megalencephaly, polymicrogyria, and hydrocephalus (MPPH) syndrome	Orphanet:83473 ! Megalencephaly - polymicrogyria - postaxial polydactyly - hydrocephalus
GARD:0010345 ! Dermal eccrine cylindroma	OMIM:132700 ! Familial cylindromatosis
GARD:0010346 ! Gamma heavy chain disease	DOID:0060127 ! gamma heavy chain disease
GARD:0010346 ! Gamma heavy chain disease	Orphanet:100031 ! Hypoplastic amelogenesis imperfecta
GARD:0010349 ! Lymphocytic hypophysitis	Orphanet:95506 ! Primary hypophysitis
GARD:0010349 ! Lymphocytic hypophysitis	Orphanet:95507 ! Congenital anomaly of hepatic vein
GARD:0010361 ! Brugada syndrome 3	OMIM:611875 ! Brugada Syndrome 3
GARD:0010374 ! Trachoma	DOID:11265 ! trachoma
GARD:0010407 ! ROHHAD	Orphanet:293987 ! Rapid-onset childhood obesity - hypothalamic dysfunction - hypoventilation - autonomic dysregulation syndrome
GARD:0010411 ! Ovarian small cell carcinoma	DOID:6179 ! ovarian small cell carcinoma
GARD:0010412 ! Spitz nevus	OMIM:137550 ! Large congenital melanocytic nevus
GARD:0010420 ! Neurofibromatosis	DOID:8712 ! neurofibromatosis
GARD:0010421 ! Skin cancer	DOID:3165 ! skin benign neoplasm
GARD:0010421 ! Skin cancer	DOID:4159 ! skin cancer
GARD:0010422 ! Cholesteatoma	DOID:869 ! cholesteatoma
GARD:0010438 ! Microcystic adnexal carcinoma	DOID:5569 ! malignant syringoma
GARD:0010439 ! Hidradenocarcinoma	DOID:5570 ! malignant acrospiroma
GARD:0010441 ! Lathyrism	MESH:D007842 ! Lathyrism
GARD:0010446 ! Cerebral palsy spastic monoplegic	DOID:10968 ! spastic monoplegia
GARD:0010448 ! Cerebral palsy spastic hemiplegic	DOID:10967 ! spastic hemiplegia
GARD:0010449 ! Cerebral palsy athetoid	DOID:0050672 ! dyskinetic cerebral palsy
GARD:0010450 ! Cerebral palsy	DOID:1969 ! cerebral palsy
GARD:0010452 ! Hepatic encephalopathy	DOID:13413 ! hepatic encephalopathy
GARD:0010463 ! Papillary eccrine adenoma	DOID:5446 ! eccrine papillary adenoma
GARD:0010466 ! Malignant eccrine spiradenoma	DOID:7960 ! malignant spiradenoma
GARD:0010485 ! Morphea	DOID:8472 ! localized scleroderma
GARD:0010496 ! Amyotrophic lateral sclerosis type 11	OMIM:612577 ! amyotrophic lateral sclerosis type 11
GARD:0010497 ! Amyotrophic lateral sclerosis type 10	DOID:0060201 ! amyotrophic lateral sclerosis type 10
GARD:0010498 ! Amyotrophic lateral sclerosis type 9	OMIM:611895 ! amyotrophic lateral sclerosis type 9
GARD:0010499 ! Amyotrophic lateral sclerosis type 8	OMIM:608627 ! amyotrophic lateral sclerosis type 8
GARD:0010500 ! Amyotrophic lateral sclerosis type 7	OMIM:608031 ! amyotrophic lateral sclerosis type 7
GARD:0010501 ! Amyotrophic lateral sclerosis type 3	OMIM:606640 ! amyotrophic lateral sclerosis type 3
GARD:0010502 ! Amyotrophic lateral sclerosis type 4	OMIM:602433 ! amyotrophic lateral sclerosis type 4
GARD:0010503 ! Amyotrophic lateral sclerosis type 5	OMIM:602099 ! amyotrophic lateral sclerosis type 5
GARD:0010506 ! Iniencephaly	Orphanet:63259 ! Iniencephaly
GARD:0010515 ! Congenital tracheomalacia	DOID:0060313 ! tracheomalacia
GARD:0010550 ! Mycobacterium Xenopi	Orphanet:314946 ! Mycobacterium xenopi infection
GARD:0010550 ! Mycobacterium Xenopi	Orphanet:314950 ! Primary hypereosinophilic syndrome
GARD:0010556 ! Blastic plasmacytoid dendritic cell	Orphanet:86870 ! CD4+/CD56+ hematodermic neoplasm
GARD:0010556 ! Blastic plasmacytoid dendritic cell	Orphanet:86871 ! T-cell prolymphocytic leukemia
GARD:0010558 ! Myoepithelial carcinoma	DOID:4838 ! myoepithelial carcinoma
GARD:0010560 ! Amyloidosis AA	Orphanet:85445 ! Secondary amyloidosis
GARD:0010563 ! Amyloidosis Beta2M	Orphanet:85446 ! Dialysis-related amyloidosis
GARD:0010564 ! Adenocarcinoma of the appendix	DOID:234 ! colon adenocarcinoma
GARD:0010564 ! Adenocarcinoma of the appendix	DOID:3608 ! appendix adenocarcinoma
GARD:0010585 ! Chronic neutrophilic leukemia	Orphanet:86829 ! Chronic neutrophilic leukemia
GARD:0010598 ! Carotid body tumor	DOID:8731 ! carotid body cancer
GARD:0010598 ! Carotid body tumor	OMIM:168000 ! Glomus Jugulare Tumor
GARD:0010599 ! Glomus jugulare tumors	OMIM:168000 ! Glomus Jugulare Tumor
GARD:0010601 ! Pituitary hormone deficiency, combined 1	OMIM:613038 ! Pituitary Hormone Deficiency, Combined, 1
GARD:0010634 ! Anaplastic ependymoma	Orphanet:251646 ! Anaplastic ependymoma
GARD:0010635 ! Astroblastoma	DOID:7305 ! astroblastoma
GARD:0010636 ! Chordoid glioma of the third ventricle	DOID:3773 ! third ventricle chordoid glioma
GARD:0010637 ! Anaplastic oligoastrocytoma	Orphanet:251663 ! Anaplastic oligoastrocytoma
GARD:0010640 ! Dysembryoplastic neuroepithelial tumor	DOID:2679 ! dysembryoplastic neuroepithelial tumor
GARD:0010642 ! Cerebellar liponeurocytoma	DOID:6458 ! cerebellar liponeurocytoma
GARD:0010644 ! Pineal parenchymal tumors of intermediate differentiation	DOID:5030 ! pineal parenchymal tumor of intermediate differentiation
GARD:0010666 ! Dihydroxyadeninuria	OMIM:614723 ! Adenine phosphoribosyltransferase deficiency
GARD:0010667 ! Craniofacial dystonia	DOID:0050845 ! cranio-facial dystonia
GARD:0010668 ! Cervical dystonia	DOID:0050840 ! cervical dystonia
GARD:0010670 ! Glycoproteinosis	Orphanet:309279 ! Glycoproteinosis
GARD:0010671 ! Mucoepidermoid carcinoma	DOID:4531 ! mucoepidermoid carcinoma
GARD:0010685 ! Chilaiditi syndrome	MESH:D059269 ! Chilaiditi Syndrome
GARD:0010690 ! Idiopathic juxtafoveal retinal telangiectasia	MESH:C548027 ! Idiopathic Juxtafoveal Retinal Telangiectasia
GARD:0010692 ! Orofaciodigital syndromes	DOID:4501 ! orofaciodigital syndrome
GARD:0010693 ! Orofaciodigital syndrome 12	Orphanet:141327 ! Orofaciodigital syndrome type 12
GARD:0010694 ! Orofaciodigital syndrome 13	OMIM:210350 ! Biemond syndrome type 2
GARD:0010694 ! Orofaciodigital syndrome 13	Orphanet:141330 ! Orofaciodigital syndrome type 13
GARD:0010697 ! Atrial septal defect coronary sinus	Orphanet:99104 ! Atrial septal defect, coronary sinus type
GARD:0010702 ! Gestational diabetes insipidus	MESH:C548014 ! Gestational Diabetes Insipidus
GARD:0010703 ! Dipsogenic diabetes insipidus	MESH:C548013 ! Dipsogenic Diabetes Insipidus
GARD:0010712 ! Progressive transformation of germinal centers	MESH:C548085 ! Progressive Transformation of Germinal Centers
GARD:0010713 ! Pudendal Neuralgia	Orphanet:60039 ! Pudendal neuralgia
GARD:0010715 ! Diploid-triploid mosaicism	MESH:C548012 ! Diploid-Triploid Mosaicism
GARD:0010720 ! Trichuriasis	DOID:1252 ! trichuriasis
GARD:0010722 ! Monkeypox	DOID:3292 ! monkeypox
GARD:0010728 ! Lethal congenital glycogen storage disease of the heart	OMIM:261740 ! Glycogen Storage Disease of Heart, Lethal Congenital
GARD:0010732 ! Leukoencephalopathy, cerebral calcifications, and cysts	OMIM:253310 ! Lethal congenital contracture syndrome type 1
GARD:0010732 ! Leukoencephalopathy, cerebral calcifications, and cysts	OMIM:614561 ! Leukoencephalopathy, Brain Calcifications, and Cysts
GARD:0010737 ! Posner-Schlossman syndrome	DOID:9378 ! glaucomatocyclitic crisis
GARD:0010738 ! Primary hyperoxaluria type 3	OMIM:613616 ! Primary hyperoxaluria type 3
GARD:0010739 ! Neuronal ceroid lipofuscinosis	DOID:14503 ! neuronal ceroid lipofuscinosis
GARD:0010742 ! Madras motor neuron disease	Orphanet:137867 ! Madras motor neuron disease
GARD:0010744 ! Conjunctival melanoma	DOID:1751 ! malignant conjunctiva melanoma
GARD:0010747 ! Lupus nephritis	MESH:D008181 ! Lupus Nephritis
GARD:0010748 ! Spinocerebellar ataxia	DOID:1441 ! spinocerebellar ataxia
GARD:0010755 ! Chromosome 16p13.3 duplication	OMIM:613458 ! Chromosome 16P13.3 Duplication Syndrome
GARD:0010758 ! Pseudohypoparathyroidism	DOID:4184 ! pseudohypoparathyroidism
GARD:0010758 ! Pseudohypoparathyroidism	OMIM:103580 ! Pseudohypoparathyroidism
GARD:0010759 ! Hemangioma	DOID:255 ! hemangioma
GARD:0010760 ! Glycogen storage disease type 0, muscle	OMIM:611556 ! Glycogen storage disease due to muscle and heart glycogen synthase deficiency
GARD:0010770 ! Homocystinuria	DOID:9263 ! homocystinuria
GARD:0010770 ! Homocystinuria	OMIM:236200 ! Homocystinuria
GARD:0010777 ! Benign multicystic peritoneal mesothelioma	Orphanet:168816 ! Peritoneal cystic mesothelioma
GARD:0010796 ! Hypnic headache	Orphanet:276429 ! Hypnic headache
GARD:0010802 ! Intravenous leiomyomatosis	DOID:5729 ! intravenous leiomyomatosis
GARD:0010804 ! Metaplastic carcinoma of the breast	DOID:4680 ! breast metaplastic carcinoma
GARD:0010809 ! Postorgasmic illness syndrome	Orphanet:279947 ! Postorgasmic illness syndrome
GARD:0010812 ! Patulous Eustachian Tube	DOID:12358 ! patulous eustachian tube
GARD:0010820 ! California encephalitis	DOID:0050118 ! La Crosse encephalitis
GARD:0010822 ! Spontaneous coronary artery dissection	OMIM:122455 ! Coronary Artery Dissection, Spontaneous
GARD:0010831 ! Chromosome 1q duplication	Orphanet:261344 ! Trisomy 1q
GARD:0010831 ! Chromosome 1q duplication	Orphanet:261349 ! 2p15p16.1 microdeletion syndrome
GARD:0010837 ! Ring chromosome 2	Orphanet:96171 ! Ring chromosome 2
GARD:0010839 ! Ring chromosome 3	Orphanet:96172 ! Ring chromosome 3
GARD:0010840 ! Chromosome 5q deletion	OMIM:153550 ! Myelodysplastic syndrome associated with isolated del(5q) chromosome abnormality
GARD:0010841 ! Ring chromosome 5	Orphanet:251043 ! Ring chromosome 5
GARD:0010842 ! Chromosome 5p deletion	OMIM:123450 ! Cri-Du-Chat syndrome
GARD:0010846 ! Ring chromosome 11	Orphanet:96175 ! Ring chromosome 11
GARD:0010853 ! Chromosome 16p deletion	OMIM:141750 ! Alpha-thalassemia - intellectual disability syndrome linked to chromosome 16
GARD:0010870 ! Free sialic acid storage disease	OMIM:269920 ! Free sialic acid storage disease, infantile form
GARD:0010870 ! Free sialic acid storage disease	Orphanet:834 ! Free sialic acid storage disease
GARD:0010871 ! Intermediate severe Salla disease	Orphanet:309331 ! Intermediate severe Salla disease
GARD:0010875 ! Heterotaxy	DOID:0050545 ! visceral heterotaxy
GARD:0010875 ! Heterotaxy	Orphanet:157788 ! Hypospadias - hypertelorism - coloboma and deafness
GARD:0010880 ! Leber congenital amaurosis 7	OMIM:613829 ! Leber Congenital Amaurosis 7
GARD:0010881 ! Leber congenital amaurosis 8	OMIM:613835 ! Leber Congenital Amaurosis 8
GARD:0010897 ! Gray zone lymphoma	DOID:5822 ! gray zone lymphoma
GARD:0010901 ! Aquagenic urticaria	OMIM:191850 ! Urticaria, Aquagenic
GARD:0010912 ! Fournier gangrene	MESH:D018934 ! Fournier Gangrene
GARD:0010925 ! La Crosse encephalitis	DOID:0050118 ! La Crosse encephalitis
GARD:0010927 ! Cryopyrin-associated periodic syndrome	Orphanet:208650 ! Cryopyrin-associated periodic syndrome
GARD:0010928 ! Progressive bulbar palsy	DOID:681 ! progressive bulbar palsy
GARD:0010930 ! Dieulafoy lesion	DOID:12070 ! Dieulafoy lesion
GARD:0010945 ! Short stature with optic atrophy and Pelger-Hut anomaly syndrome	OMIM:614800 ! Short stature-optic atrophy-Pelger-HuC+t anomaly syndrome
GARD:0010960 ! Linear IgA disease	OMIM:116920 ! Leukocyte adhesion deficiency type 1
GARD:0010960 ! Linear IgA disease	Orphanet:46488 ! Linear IgA dermatosis
GARD:0010960 ! Linear IgA disease	Orphanet:46489 ! Bullous systemic lupus erythematosus
GARD:0010963 ! Pyogenic granuloma	MESH:D017789 ! Granuloma, Pyogenic
GARD:0010964 ! Chronic graft versus host disease	Orphanet:99921 ! Chronic graft versus host disease
GARD:0010967 ! Polyarticular onset juvenile idiopathic arthritis	Orphanet:85408 ! Juvenile rheumatoid factor-negative polyarthritis
GARD:0010967 ! Polyarticular onset juvenile idiopathic arthritis	Orphanet:85435 ! Juvenile rheumatoid factor-positive polyarthritis
GARD:0010973 ! Adult neuronal ceroid lipofuscinosis	Orphanet:79262 ! Adult neuronal ceroid lipofuscinosis
GARD:0010987 ! Cauda equina syndrome	DOID:11577 ! Cauda equina syndrome
GARD:0010989 ! MDP syndrome	Orphanet:363649 ! Mandibular hypoplasia-deafness-progeroid syndrome
GARD:0011011 ! Multifocal motor neuropathy	Orphanet:641 ! Multifocal motor neuropathy
GARD:0011854 ! Cone rod dystrophy	DOID:0050572 ! cone-rod dystrophy
GARD:0011854 ! Cone rod dystrophy	OMIM:120970 ! Cone-Rod Dystrophy 2
GARD:0011895 ! Pellucid marginal degeneration	Orphanet:137672 ! Pellucid marginal degeneration
GARD:0011896 ! PDGFRB-associated chronic eosinophilic leukemia	MESH:C580365 ! Pdgfrb-Associated Chronic Eosinophilic Leukemia
GARD:0011901 ! Juvenile amyotrophic lateral sclerosis	Orphanet:300605 ! Juvenile amyotrophic lateral sclerosis
GARD:0011904 ! Capillary malformation-arteriovenous malformation syndrome	OMIM:608354 ! Capillary malformation - arteriovenous malformation
GARD:0011908 ! Dirofilariasis	DOID:1082 ! dirofilariasis
GARD:0011913 ! Brachydactyly	DOID:0050581 ! brachydactyly
GARD:0011918 ! Autosomal dominant nocturnal frontal lobe epilepsy	Orphanet:98784 ! Autosomal dominant nocturnal frontal lobe epilepsy
GARD:0011926 ! Restless legs syndrome	DOID:0050425 ! restless legs syndrome
GARD:0011929 ! Osteoarthritis	DOID:8398 ! osteoarthritis
GARD:0011931 ! Epilepsy	DOID:1826 ! epilepsy syndrome
GARD:0011932 ! Osteoporosis	DOID:11476 ! osteoporosis
GARD:0011932 ! Osteoporosis	OMIM:166710 ! Osteoporosis, Postmenopausal
GARD:0011933 ! Schizophrenia	DOID:5419 ! schizophrenia
GARD:0011933 ! Schizophrenia	OMIM:181500 ! Schizophrenia
GARD:0011934 ! Diabetes insipidus	DOID:9409 ! diabetes insipidus
GARD:0011935 ! Rheumatoid arthritis	DOID:7148 ! rheumatoid arthritis
GARD:0011935 ! Rheumatoid arthritis	OMIM:180300 ! Arthritis, Rheumatoid
GARD:0011936 ! Hepatitis C	DOID:1883 ! hepatitis C
GARD:0011937 ! Emphysema	MESH:D004646 ! Emphysema
GARD:0011938 ! Goiter	DOID:12176 ! goiter
GARD:0011939 ! Enlarged prostate	OMIM:600082 ! Prostatic Hyperplasia, Benign
GARD:0011940 ! Heart failure	DOID:6000 ! congestive heart failure
GARD:0011941 ! Stroke	DOID:6713 ! cerebrovascular disease
GARD:0011942 ! Diabetes mellitus type 2	DOID:9352 ! type 2 diabetes mellitus
GARD:0011942 ! Diabetes mellitus type 2	OMIM:125853 ! Diabetes Mellitus, Type 2
GARD:0011943 ! Simultanagnosia	DOID:0060148 ! simultanagnosia
GARD:0011944 ! Coronary artery disease	DOID:11843 ! coronary artery anomaly
GARD:0011944 ! Coronary artery disease	DOID:3393 ! coronary artery disease
GARD:0011944 ! Coronary artery disease	OMIM:147545 ! Insulin Receptor Substrate 1
GARD:0011946 ! Dementia	DOID:1307 ! dementia
GARD:0011947 ! Heart disease	DOID:114 ! heart disease
GARD:0011948 ! Chronic obstructive pulmonary disorder	DOID:3083 ! chronic obstructive pulmonary disease
GARD:0011949 ! Dystonia	DOID:0050835 ! generalized dystonia
GARD:0011949 ! Dystonia	DOID:543 ! dystonia
GARD:0011950 ! Glaucoma	DOID:1686 ! glaucoma
GARD:0011951 ! rhabdomyosarcoma	DOID:3247 ! rhabdomyosarcoma
GARD:0011952 ! Thymic carcinoma	DOID:3284 ! thymic carcinoma
GARD:0011954 ! Diabetic retinopathy	DOID:8947 ! diabetic retinopathy
GARD:0011954 ! Diabetic retinopathy	OMIM:612633 ! Microvascular Complications of Diabetes, Susceptibility To, 5
GARD:0011955 ! Lymphoma	DOID:0060058 ! lymphoma
GARD:0011957 ! HIV/AIDS	DOID:635 ! acquired immunodeficiency syndrome
GARD:0011959 ! Lipoma	DOID:3315 ! lipoma
GARD:0011959 ! Lipoma	OMIM:151900 ! Lipomatosis, Multiple
GARD:0011960 ! Cancer	DOID:162 ! cancer
GARD:0011963 ! Intellectual disability	DOID:1059 ! intellectual disability
GARD:0011964 ! Kidney failure	DOID:1074 ! kidney failure
GARD:0011964 ! Kidney failure	DOID:783 ! end stage renal failure
GARD:0011965 ! Prolymphocytic leukemia	DOID:1039 ! prolymphocytic leukemia
GARD:0011966 ! Small cell lung cancer	OMIM:182280 ! Small Cell Lung Carcinoma
GARD:0011971 ! Renal nutcracker syndrome	Orphanet:71273 ! Renal nutcracker syndrome
GARD:0011972 ! Dominant optic atrophy	Orphanet:98672 ! Autosomal dominant optic atrophy
GARD:0011981 ! Endometrial Cancer	DOID:1380 ! endometrial cancer
GARD:0011981 ! Endometrial Cancer	OMIM:608089 ! Endometrial Cancer
GARD:0011989 ! Pythiosis	MESH:D058968 ! Pythiosis
GARD:0012014 ! Embryonal tumor	DOID:688 ! embryonal cancer
GARD:0012017 ! Pineal germ cell tumor	DOID:1660 ! malignant pineal area germ cell neoplasm
GARD:0012018 ! Sarcoma	DOID:1115 ! sarcoma
GARD:0012020 ! Pyelonephritis	DOID:11400 ! pyelonephritis
GARD:0012021 ! Xanthogranulomatous pyelonephritis	DOID:11401 ! xanthogranulomatous pyelonephritis
GARD:0012022 ! Hamartoma	MESH:D006222 ! Hamartoma
GARD:0012024 ! Angiomyolipoma	DOID:3314 ! angiomyolipoma
GARD:0012025 ! Malignant melanoma of soft tissues	DOID:4233 ! clear cell sarcoma
GARD:0012028 ! Parathyroid adenoma	DOID:7608 ! parathyroid adenoma
GARD:0012028 ! Parathyroid adenoma	OMIM:145000 ! Hyperparathyroidism 1
GARD:0012032 ! Isolated levocardia	Orphanet:95854 ! Levocardia
GARD:0012060 ! Cerebellar ataxia	DOID:0050753 ! cerebellar ataxia
GARD:0012069 ! Fibromyalgia	DOID:631 ! fibromyalgia
GARD:0012070 ! Chromosome 8 deletion	MESH:C537823 ! Chromosome 8 deletion
GARD:0012071 ! Chronic kidney disease metabolic bone disease	DOID:13068 ! renal osteodystrophy
GARD:0012074 ! Oculo-auriculo-vertebral spectrum	OMIM:164210 ! Goldenhar syndrome
GARD:0012074 ! Oculo-auriculo-vertebral spectrum	Orphanet:141132 ! Oculo-auriculo-vertebral spectrum
GARD:0012121 ! Lisencefalia ligada al X asociada a genitales anormales	OMIM:300215 ! X-linked lissencephaly with abnormal genitalia
GARD:0012123 ! Phocomelia	Orphanet:294975 ! Congenital absence of upper arm and forearm with hand present
GARD:0012124 ! Macrophage activation syndrome	Orphanet:158061 ! Macrophage activation syndrome
GARD:0012133 ! Nodding syndrome	MESH:D064128 ! Nodding Syndrome
GARD:0012138 ! Apocrine carcinoma	DOID:4933 ! apocrine adenocarcinoma
GARD:0012141 ! May-Thurner syndrome	MESH:D062108 ! May-Thurner Syndrome
GARD:0012151 ! Crusted scabies	DOID:14374 ! norwegian scabies
GARD:0012163 ! Brain lung thyroid syndrome	OMIM:610978 ! Brain-lung-thyroid syndrome
GARD:0012279 ! Malignant ectomesenchymoma	DOID:4055 ! ectomesenchymoma
GARD:0012308 ! Celiac artery compression syndrome	DOID:9892 ! median arcuate ligament syndrome
GARD:0012315 ! Deficiency of N-glycanase 1	OMIM:615273 ! Congenital Disorder of Deglycosylation
GARD:0012315 ! Deficiency of N-glycanase 1	Orphanet:404454 ! Alacrimia-choreoathetosis-liver dysfunction syndrome
GARD:0012387 ! Fibrosis retroperitoneal	OMIM:228800 ! Retroperitoneal fibrosis
GARD:0012418 ! Galactosemia	DOID:9870 ! galactosemia
GARD:0012418 ! Galactosemia	OMIM:230400 ! Classic galactosemia
GARD:0012425 ! Head and neck cancer	DOID:11934 ! head and neck cancer
GARD:0012441 ! Charcot-Marie-Tooth disease type 4F	OMIM:614895 ! Charcot-Marie-Tooth disease type 4F
GARD:0012443 ! Charcot-Marie-Tooth disease type 4J	OMIM:611228 ! Charcot-Marie-Tooth disease type 4J
GARD:0012447 ! Autosomal dominant Charcot-Marie-Tooth disease type 2 with giant axons	Orphanet:401964 ! Autosomal dominant Charcot-Marie-Tooth disease type 2 with giant axons
GARD:0012455 ! Hemoglobinopathy	DOID:2860 ! hemoglobinopathy
GARD:0012457 ! Hereditary persistence of fetal hemoglobin - sickle cell disease	Orphanet:251380 ! Hereditary persistence of fetal hemoglobin - sickle cell disease
GARD:0012485 ! Syndrome with corpus callosum agenesis /dysgenesis as a major feature	Orphanet:199639 ! Syndrome with corpus callosum agenesis /dysgenesis as a major feature
GARD:0012485 ! Syndrome with corpus callosum agenesis /dysgenesis as a major feature	Orphanet:269573 ! Genetic syndrome with corpus callosum agenesis/dysgenesis as a major feature
GARD:0012490 ! X-linked lissencephaly with abnormal genitalia	OMIM:300215 ! X-linked lissencephaly with abnormal genitalia
GARD:0012506 ! Neurofibromatosis	DOID:8712 ! neurofibromatosis
GARD:0012509 ! Schwannomatosis	DOID:3204 ! neurilemmomatosis
GARD:0012509 ! Schwannomatosis	OMIM:162091 ! Schwannomatosis
GARD:0012567 ! PLA2G6-associated neurodegeneration	OMIM:256600 ! Neurodegeneration With Brain Iron Accumulation 2A
GARD:0012567 ! PLA2G6-associated neurodegeneration	Orphanet:329303 ! PLA2G6-associated neurodegeneration
GARD:0012583 ! Progressive muscular dystrophy	Orphanet:206644 ! Progressive muscular dystrophy
GARD:0012645 ! Lethal congenital contracture syndrome 4	OMIM:614915 ! Lethal Congenital Contracture Syndrome 4
GARD:0012650 ! Amoebiasis due to free-living amoebae	Orphanet:68 ! Amoebiasis due to free-living amoebae
GARD:0012651 ! Granulomatous Amebic Encephalitis	DOID:0050246 ! granulomatous amebic encephalitis
